Время[c],АЦП 
4.735630035400391, 180 
4.736628770828247, 180 
4.737224578857422, 181 
4.737806081771851, 181 
4.738381624221802, 181 
4.738962173461914, 181 
4.739533185958862, 181 
4.740081310272217, 181 
4.740630626678467, 181 
4.741170167922974, 182 
4.7417192459106445, 180 
4.742271423339844, 181 
4.742816209793091, 181 
4.743356227874756, 181 
4.743906259536743, 182 
4.744452476501465, 181 
4.745004415512085, 182 
4.745539903640747, 182 
4.746082305908203, 182 
4.7466185092926025, 182 
4.747166156768799, 181 
4.74770188331604, 181 
4.7482452392578125, 182 
4.748796463012695, 180 
4.749342203140259, 181 
4.7498791217803955, 181 
4.750413417816162, 182 
4.750949382781982, 181 
4.75148606300354, 182 
4.752029657363892, 181 
4.7526280879974365, 181 
4.7532124519348145, 181 
4.753770112991333, 181 
4.754305839538574, 181 
4.754867792129517, 181 
4.755464315414429, 181 
4.756037712097168, 181 
4.7565929889678955, 181 
4.7571330070495605, 181 
4.757664203643799, 181 
4.758204221725464, 182 
4.7587361335754395, 181 
4.759260892868042, 181 
4.759786605834961, 181 
4.760311126708984, 181 
4.760836362838745, 181 
4.761362791061401, 181 
4.761887550354004, 182 
4.762410402297974, 181 
4.762942790985107, 180 
4.763505935668945, 181 
4.76407265663147, 181 
4.764624834060669, 181 
4.765153884887695, 180 
4.765677213668823, 181 
4.766223669052124, 181 
4.766749858856201, 181 
4.767279863357544, 181 
4.767809629440308, 181 
4.768346786499023, 181 
4.76888370513916, 181 
4.769438743591309, 182 
4.76997184753418, 180 
4.770496129989624, 182 
4.771023750305176, 182 
4.771544694900513, 182 
4.772063493728638, 181 
4.772596120834351, 182 
4.773120403289795, 181 
4.773641347885132, 182 
4.774177074432373, 182 
4.774708271026611, 182 
4.775234699249268, 181 
4.775764226913452, 182 
4.7762837409973145, 181 
4.7768027782440186, 183 
4.7773261070251465, 181 
4.7778496742248535, 181 
4.778368949890137, 181 
4.778888702392578, 181 
4.779407501220703, 182 
4.779927730560303, 181 
4.780446529388428, 181 
4.780965805053711, 181 
4.781483888626099, 181 
4.782003164291382, 182 
4.782521486282349, 182 
4.783041954040527, 181 
4.783565044403076, 181 
4.78410005569458, 181 
4.784622430801392, 183 
4.785146951675415, 182 
4.785668611526489, 182 
4.786189079284668, 182 
4.786710739135742, 182 
4.787230491638184, 182 
4.787752628326416, 181 
4.7883007526397705, 182 
4.788837194442749, 181 
4.789373874664307, 181 
4.789905786514282, 182 
4.790447235107422, 182 
4.790977478027344, 181 
4.7915074825286865, 181 
4.792038917541504, 181 
4.792567729949951, 180 
4.793099641799927, 182 
4.793627023696899, 181 
4.794161081314087, 181 
4.794693231582642, 181 
4.795223236083984, 180 
4.795750856399536, 181 
4.7962806224823, 181 
4.796808481216431, 181 
4.7973387241363525, 181 
4.7978644371032715, 181 
4.798394203186035, 182 
4.79892373085022, 180 
