Время[c],АЦП 
0.0006334781646728516, 216 
0.0011658668518066406, 216 
0.0016918182373046875, 216 
0.0022230148315429688, 216 
0.0027523040771484375, 216 
0.003300905227661133, 217 
0.003835439682006836, 215 
0.00436091423034668, 216 
0.004886150360107422, 215 
0.005411624908447266, 217 
0.005936622619628906, 216 
0.0064618587493896484, 216 
0.0070607662200927734, 216 
0.007696390151977539, 216 
0.008347034454345703, 216 
0.008941888809204102, 215 
0.009541749954223633, 215 
0.010113716125488281, 216 
0.010741710662841797, 216 
0.011304140090942383, 215 
0.01186227798461914, 215 
0.012403488159179688, 216 
0.012955427169799805, 216 
0.01352238655090332, 215 
0.014087915420532227, 216 
0.014667749404907227, 216 
0.015234231948852539, 215 
0.015798568725585938, 216 
0.016387462615966797, 215 
0.016967058181762695, 216 
0.01774287223815918, 215 
0.018419742584228516, 215 
0.019070863723754883, 216 
0.019747495651245117, 215 
0.02041172981262207, 215 
0.021044254302978516, 215 
0.021653413772583008, 216 
0.022304296493530273, 215 
0.022945642471313477, 217 
0.023564815521240234, 216 
0.024199962615966797, 216 
0.024997472763061523, 215 
0.025675535202026367, 215 
0.026300668716430664, 215 
0.02715134620666504, 215 
0.027781009674072266, 216 
0.028406143188476562, 215 
0.028993844985961914, 216 
0.029596805572509766, 215 
0.030210018157958984, 216 
0.030788660049438477, 216 
0.03132462501525879, 216 
0.031855106353759766, 216 
0.03238224983215332, 215 
0.03290724754333496, 215 
0.03343462944030762, 215 
0.03395867347717285, 216 
0.034487009048461914, 215 
0.03501415252685547, 215 
0.03557610511779785, 216 
0.036101341247558594, 215 
0.03662872314453125, 215 
0.037152767181396484, 215 
0.03767871856689453, 215 
0.03820443153381348, 216 
0.03872942924499512, 215 
0.03925490379333496, 215 
0.039780616760253906, 215 
0.04031825065612793, 215 
0.04090070724487305, 215 
0.041509151458740234, 215 
0.0421140193939209, 215 
0.042748212814331055, 215 
0.04335427284240723, 215 
0.043961524963378906, 215 
0.04459190368652344, 215 
0.04522109031677246, 216 
0.045870065689086914, 215 
0.04655623435974121, 216 
0.047167062759399414, 216 
0.04777050018310547, 216 
0.04835009574890137, 215 
0.04892253875732422, 215 
0.04948067665100098, 215 
0.050019025802612305, 215 
0.05054521560668945, 215 
0.051070213317871094, 214 
0.051595211029052734, 215 
0.05212879180908203, 214 
0.05266141891479492, 215 
0.05319476127624512, 215 
0.05373406410217285, 214 
0.05430769920349121, 215 
0.05489230155944824, 215 
0.055483102798461914, 216 
0.056108713150024414, 215 
0.05669403076171875, 215 
0.0572354793548584, 215 
0.057767629623413086, 215 
0.05830216407775879, 213 
0.05883145332336426, 214 
0.059359073638916016, 215 
0.0598907470703125, 214 
0.060419321060180664, 215 
0.06095075607299805, 214 
0.06147909164428711, 214 
0.062005043029785156, 215 
0.0625312328338623, 210 
0.06306099891662598, 215 
0.06358480453491211, 215 
0.06411051750183105, 215 
0.06463408470153809, 215 
0.06515979766845703, 214 
0.06568455696105957, 215 
0.06620979309082031, 215 
0.06673812866210938, 214 
0.06726408004760742, 215 
0.06779074668884277, 214 
0.06831574440002441, 215 
0.06884241104125977, 215 
0.0693657398223877, 215 
0.0699002742767334, 215 
0.07042670249938965, 215 
0.07095146179199219, 214 
0.07147622108459473, 216 
0.07200050354003906, 215 
0.07253003120422363, 215 
0.07305383682250977, 214 
0.07358384132385254, 215 
0.07411408424377441, 215 
0.07463788986206055, 214 
0.07517790794372559, 214 
0.07570624351501465, 214 
0.07623076438903809, 214 
0.07679581642150879, 215 
0.0774984359741211, 215 
0.07827997207641602, 215 
0.07899880409240723, 215 
0.07978701591491699, 215 
0.08058762550354004, 214 
0.08123469352722168, 215 
0.08199739456176758, 215 
0.08262014389038086, 214 
0.0832819938659668, 215 
0.08408141136169434, 215 
0.08483076095581055, 215 
0.08564519882202148, 215 
0.08641958236694336, 215 
0.08719134330749512, 215 
0.08798670768737793, 214 
0.08864068984985352, 215 
0.08923506736755371, 215 
0.08980679512023926, 215 
0.09040093421936035, 214 
0.0910024642944336, 214 
0.09157204627990723, 214 
0.09214448928833008, 214 
0.09271836280822754, 214 
0.09328985214233398, 215 
0.09386801719665527, 215 
0.09444475173950195, 214 
0.09499621391296387, 215 
0.09555768966674805, 214 
0.09612298011779785, 215 
0.09669971466064453, 215 
0.09729146957397461, 214 
0.09789633750915527, 215 
0.09851431846618652, 214 
0.09908604621887207, 215 
0.0996403694152832, 213 
0.10017251968383789, 214 
0.10070490837097168, 214 
0.10123443603515625, 214 
0.10176944732666016, 214 
0.10230159759521484, 215 
0.10284948348999023, 214 
0.10348987579345703, 215 
0.10417413711547852, 215 
0.10480022430419922, 215 
0.1053915023803711, 215 
0.10594892501831055, 214 
0.10650086402893066, 215 
0.10706090927124023, 215 
0.1076357364654541, 213 
0.10819458961486816, 215 
0.10875463485717773, 215 
0.10930585861206055, 214 
0.10984563827514648, 214 
0.11040687561035156, 215 
0.11097359657287598, 214 
0.11151361465454102, 214 
0.11206221580505371, 215 
0.11263370513916016, 214 
0.11316919326782227, 214 
0.11372756958007812, 214 
0.11430048942565918, 214 
0.114837646484375, 215 
0.11536931991577148, 214 
0.1159207820892334, 215 
0.11649346351623535, 214 
0.11706972122192383, 214 
0.1176137924194336, 214 
0.11815404891967773, 214 
0.11877822875976562, 214 
0.11935663223266602, 214 
0.11989474296569824, 214 
0.1204843521118164, 214 
0.12106585502624512, 214 
0.1216573715209961, 214 
0.12224793434143066, 214 
0.12289071083068848, 214 
0.12349438667297363, 214 
0.12408041954040527, 214 
0.12468767166137695, 214 
0.12528491020202637, 214 
0.1258838176727295, 214 
0.12645578384399414, 215 
0.1269855499267578, 214 
0.12750720977783203, 214 
0.12802934646606445, 214 
0.12855172157287598, 214 
0.1290743350982666, 213 
0.12959623336791992, 213 
0.13011860847473145, 214 
0.13064050674438477, 212 
0.1311628818511963, 213 
0.1316840648651123, 213 
0.13220882415771484, 213 
0.13273024559020996, 213 
0.13325238227844238, 213 
0.1337738037109375, 214 
0.13429570198059082, 211 
0.13481688499450684, 213 
0.13533902168273926, 213 
0.13586044311523438, 214 
0.13639521598815918, 213 
0.13693857192993164, 214 
0.1374666690826416, 213 
0.13798785209655762, 213 
0.13850998878479004, 213 
0.13903141021728516, 213 
0.13955402374267578, 213 
0.14007568359375, 213 
0.14059758186340332, 213 
0.14111900329589844, 214 
0.14164113998413086, 213 
0.14216399192810059, 213 
0.1426868438720703, 214 
0.14320826530456543, 214 
0.14373016357421875, 213 
0.14425134658813477, 213 
0.1447734832763672, 213 
0.1452949047088623, 214 
0.14581680297851562, 213 
0.14633822441101074, 213 
0.14686012268066406, 213 
0.14738154411315918, 213 
0.1479039192199707, 214 
0.14842557907104492, 214 
0.14894747734069824, 213 
0.14946889877319336, 213 
0.14999103546142578, 213 
